permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,route_location_origin,authorizedhighways,route_location_1,route_location_2,route_location_3,route_location_4,route_location_5,route_location_6,route_location_7,route_location_8,route_location_9,route_location_10,route_location_11,route_location_12,route_location_13,route_location_14,route_location_15,route_location_16,route_location_17,route_location_18,route_location_19,route_location_20,route_location_21,route_location_22,route_location_23,route_location_24
e24-000547,2024,01/04/2024,01/10/2024,AF300 DRILL RIG (T76),California,Corona,San Bernardino,"owl rock quarry Corona, California",* from owl rock quarry - 071s - 091e - 015n - 210e - 215s - 066w - to mt vernon ave exit (mt vernon ave) *,SR-71,SR-91,I-15,SR-210,I-215,SR-66,mt vernon ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000404,2024,01/05/2024,01/11/2024,STEEL GIRDER,California,Lancaster,Bakersfield,"ave Lancaster, California",* from ave `m` w/b on ramp - 014n - 138w - 005n - 099n - to panama ln exit (panama ln e/b off ramp exit number 20) *,SR-14,SR-138,I-5,SR-99,panama ln,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000405,2024,01/05/2024,01/11/2024,STEEL GIRDER,California,Lancaster,Bakersfield,"ave Lancaster, California",* from ave `m` w/b on ramp - 014n - 138w - 005n - 099n - to panama ln exit (panama ln e/b off ramp exit number 20) *,SR-14,SR-138,I-5,SR-99,panama ln,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000400,2024,01/03/2024,01/09/2024,MCCLOSKY  CRUSHER,California,San Deigo,Menifee,"camino del norte e San Deigo, California",* from camino del norte e/b on ramp - 015n - to el norte parkway exit (el norte parkway e/b off ramp) * from mountain meadow rd w/b on ramp - 015n - 215n - to scott rd exit (scott rd w/b off ramp) *,I-15,el norte parkway,I-15,I-215,scott rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000187,2024,01/04/2024,01/10/2024,1 FARM TRACTOR FENDT 728 SERIAL # F03393,California,Az Line @ I8,3393 Ca-86 Imperial Ca 92251,"az line Az Line @ I8, California",* from az line 8 - 008w - 086n - to treshill rd exit (treshill rd) ** from ralph rd - 086n - to grimes rd exit (grimes rd) *,I-8,SR-86,treshill rd,SR-86,grimes rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000399,2024,01/03/2024,01/09/2024,MCCLOSKY CRUSHER,California,San Deigo,Menifee,"camino del norte w San Deigo, California",* from camino del norte w/b on ramp - 015n - 215n - to scott rd exit (scott rd w/b off ramp) *,I-15,I-215,scott rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000386,2024,01/04/2024,01/10/2024,CRATED MACHINE CENTER (CRATED FOR PROTECTION),California,Wilmington,Nevada State Line,"o st Wilmington, California",* from o st w/b on ramp - 001s - 022e (7th st) - 605n - 210e - 015n - to nv line 15 exit *,SR-1,SR-22,I-605,SR-210,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000403,2024,01/05/2024,01/11/2024,JD 470 G EXCAVATOR  7JT,California,Lakeside,Chino,"riverford rd Lakeside, California",* from riverford rd w/b on ramp - 067s - 052w - 015n - 091w - 071n - 083n - to pine ave exit (pine ave) *,SR-67,SR-52,I-15,SR-91,SR-71,SR-83,pine ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000383,2024,01/04/2024,01/10/2024,SANDVIC SCREEN 7JT,California,Santa Paula,Mojave,"hallock dr Santa Paula, California",* from hallock dr/telegraph rd - 126e - 005s - 014n - to panamint st exit (panamint st) *,SR-126,I-5,SR-14,panamint st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000407,2024,01/03/2024,01/09/2024,CAT D8 DOZER,California,Corona,Upland,"indian truck trail w Corona, California",* from indian truck trail w/b on ramp - 015n - 210w - to baseline road exit (baseline road e/b off ramp exit number 52) *,I-15,SR-210,baseline road,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000412,2024,01/05/2024,01/11/2024,BOAT,California,Long Beach,Hungtington Beach,"pico ave Long Beach, California",* from pico ave e/b on ramp - 710n - 405s - 022e - to harbor blvd south exit (harbor blvd s/b off ramp exit number 12a) *,I-710,I-405,SR-22,harbor blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000416,2024,01/05/2024,01/11/2024,BOAT,California,Hungtington Beach,Hungtington Beach,"warner ave Hungtington Beach, California",* from warner ave - 001s - to newland st exit *,SR-1,newland st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000595,2024,01/04/2024,01/10/2024,TRANSFORMER,California,Az Line,Huron,"az line Az Line, California",* from az line 10 - 010w - to corn springs rd n/b off ramp * detour via ramps* from corn springs rd s/b on  ramp - 010w - 215n - 210w - 005n - to jayne ave exit (jayne ave e/b off ramp exit number 325) *,I-10,corn springs rd,I-10,I-215,SR-210,I-5,jayne ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
