permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_origin,route_intersection_origin_x_coords,route_intersection_origin_y_coords,route_intersection_1,route_intersection_1_x_coords,route_intersection_1_y_coords,route_intersection_2,route_intersection_2_x_coords,route_intersection_2_y_coords,route_intersection_3,route_intersection_3_x_coords,route_intersection_3_y_coords,route_intersection_4,route_intersection_4_x_coords,route_intersection_4_y_coords,route_intersection_5,route_intersection_5_x_coords,route_intersection_5_y_coords,route_intersection_6,route_intersection_6_x_coords,route_intersection_6_y_coords,route_intersection_7,route_intersection_7_x_coords,route_intersection_7_y_coords,route_intersection_8,route_intersection_8_x_coords,route_intersection_8_y_coords,route_intersection_9,route_intersection_9_x_coords,route_intersection_9_y_coords,route_intersection_10,route_intersection_10_x_coords,route_intersection_10_y_coords,route_intersection_11,route_intersection_11_x_coords,route_intersection_11_y_coords,route_intersection_12,route_intersection_12_x_coords,route_intersection_12_y_coords,route_intersection_13,route_intersection_13_x_coords,route_intersection_13_y_coords,route_intersection_14,route_intersection_14_x_coords,route_intersection_14_y_coords,route_intersection_15,route_intersection_15_x_coords,route_intersection_15_y_coords,route_intersection_16,route_intersection_16_x_coords,route_intersection_16_y_coords,route_intersection_17,route_intersection_17_x_coords,route_intersection_17_y_coords,route_intersection_18,route_intersection_18_x_coords,route_intersection_18_y_coords
e23-109351,2024,01/01/2024,01/07/2024,CNC MACHINE,California,Long Beach,Az Line 10,* from santa fe ave - 001n - 110n - 105e - 605n - 010e - to corn springs rd s/b off ramp exit 201 - detour via ramps - from corn springs rd n/b on ramp - 010e - to az line 10 exit *,"santa fe ave Long Beach, California","santa fe ave Long Beach, California and SR-1",-118.2154462,33.7898649,SR-1 AND SR-110,-118.2820661,33.7905789,I-105 AND SR-110,-118.2807593,33.9286602,I-105 AND I-605,-118.1048384,33.9139358,I-10 AND I-605,-118.0000932,34.0650647,I-10 AND AZ LINE,-114.5311155,33.6047178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000966,2024,01/05/2024,01/11/2024,1 TRANSFORMER VTC DA134A,California,Az Line @ I40,3736 Rancho Rd Marysville Ca 95901,* from az line 40 - 040w - 015s - 058w - 223w - 005n - 580w - 680n - 080e - 113n - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) ** from east st w/b on ramp - 005s - 099n - 070e - to mcgowan parkway exit (mcgowan parkway n/b off ramp exit number 16) *,"az line Az Line @ I40, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-15 AND I-40,-117.008954,34.886545,I-15 AND SR-58,-117.076548,34.870725,SR-58 AND SR-223,-118.658242,35.264251,I-5 AND SR-223,-119.1629213,35.209104,I-5 AND I-580,-121.340756,37.596558,I-580 AND I-680,-121.922687,37.700955,I-80 AND I-680,-122.1379333,38.2163797,I-80 AND SR-113,-121.7702521,38.519704,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-99,-118.954452,35.013687,SR-70 AND SR-99,-121.543791,38.851378,SR-70 AND MCGOWAN PARKWAY,-121.541379,39.077304,,,,,,,,,,,,
e24-000964,2024,01/05/2024,01/11/2024,EMPTY OVERLEGAL TRAILER,California,3736 Rancho Rd Marysville Ca 95901,Az Line @ I40,* from mcgowan parkway s/b on ramp - 070w - 099s - 005s - 046e - 099s - 058e - 015n - 040e - to az line 40 exit *,"mcgowan parkway 3736 Rancho Rd Marysville Ca 95901, California","mcgowan parkway 3736 Rancho Rd Marysville Ca 95901, California and SR-70",-121.5413611,39.0773001,SR-70 AND SR-99,-121.543791,38.851378,I-5 AND SR-99,-118.954452,35.013687,I-5 AND SR-46,-119.6532836,35.6161199,SR-46 AND SR-99,-119.2112125,35.6017319,SR-58 AND SR-99,-119.0395304,35.3526592,I-15 AND SR-58,-117.076548,34.870725,I-15 AND I-40,-117.008954,34.886545,I-40 AND AZ LINE,-114.4878107,34.7171822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109325,2024,01/01/2024,01/07/2024,RODNEY UPPER MIIDLE LOG ( 12' DECK EXTENSION),California,Stockton,Tracy,* from pershing ave e/b on ramp - 005n - to eight mile rd e/b off ramp exit 481 * eight mile rd oc over 99 * eight mile rd across 88 * jack tone rd/co rd j5 across 26 * jack tone rd/co rd j-5 across 4 * from jack tone road - 120w - 099s - 120w - 005s - to tracy exit (old us 50/11th st w/b off ramp exit 458a) *,"pershing ave Stockton, California","pershing ave Stockton, California and I-5",-121.3123276,37.9547932,I-5 AND SR-120,-121.3018261,37.7887748,SR-99 AND SR-120,-121.191302,37.797509,SR-99 AND SR-120,-121.191302,37.797509,I-5 AND SR-120,-121.3018261,37.7887748,I-5 AND TRACY,-121.3284296,37.7686144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109442,2024,01/01/2024,01/07/2024,Century Wheel 44 Amusement Ride #1394778,California,San Jose,Firebaugh,* from tully rd e/b on ramp - 101n - 680n - 580e - 005s - to nees ave exit (nees ave e/b off ramp exit number 385) *,"tully rd San Jose, California","tully rd San Jose, California and US-101",-121.8315363,37.3184246,US-101 AND I-680,-121.851952,37.339616,I-580 AND I-680,-121.922687,37.700955,I-5 AND I-580,-121.340756,37.596558,I-5 AND NEES AVE,-120.7739672,36.8503083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109322,2024,01/01/2024,01/07/2024,10 Stacked Panels & 8 Stacked Electrodes (Stacked E2E),California,Or 5,Az 40,* from or line 5 - 005s - 198e - 099s - 058e - 015n - 040e - to az line 40 exit *,"or line Or 5, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND SR-198,-120.2439689,36.2543345,SR-99 AND SR-198,-119.407849,36.327400,SR-58 AND SR-99,-119.0395304,35.3526592,I-15 AND SR-58,-117.076548,34.870725,I-15 AND I-40,-117.008954,34.886545,I-40 AND AZ LINE,-114.4878107,34.7171822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109430,2024,01/01/2024,01/07/2024,PULL SCRAPER,California,Brawley,Az Line,* from poe rd - 086s - 078e - 111s - 008e - to az line 8 exit *,"poe rd Brawley, California","poe rd Brawley, California and SR-86",-115.7527299,33.081509,SR-78 AND SR-86,-115.855248,33.125824,SR-78 AND SR-111,-115.501324,32.978586,I-8 AND SR-111,-115.501143,32.773791,I-8 AND AZ LINE,-114.6178137,32.7285541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109431,2024,01/01/2024,01/07/2024,PULL SCRAPER,California,Brawley,Az Line,* from poe rd - 086s - 078e - 111s - 008e - to az line 8 exit *,"poe rd Brawley, California","poe rd Brawley, California and SR-86",-115.7527299,33.081509,SR-78 AND SR-86,-115.855248,33.125824,SR-78 AND SR-111,-115.501324,32.978586,I-8 AND SR-111,-115.501143,32.773791,I-8 AND AZ LINE,-114.6178137,32.7285541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109485,2024,01/01/2024,01/07/2024,"METERING SECTION, SINGLE ITEM",California,I-8 & Az Line,"San Diego, Ca",* from az line 8 - 008w - 015n - to carroll canyon rd exit (carroll canyon rd w/b off ramp exit number 15) *,"az line I-8 & Az Line, California",I-8 and Arizona Line,-114.608218,32.698957,I-8 AND I-15,-117.112371,32.778595,I-15 AND CARROLL CANYON RD,-117.1162125,32.9034001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109440,2024,01/01/2024,01/07/2024,(D108) 120 Ton RT #1394794,California,San Leandro,Orinda,* from 98th ave e/b on ramp - 880s - 238s - 580e - to hopyard rd exit (dougherty rd n/b off ramp) ** from hopyard rd n/b on ramp - 580w - 680n - 024w - to orinda exit (camino pablo s/b off ramp exit number 9) *,"98th ave San Leandro, California","98th ave San Leandro, California and I-880",-122.1885614,37.7316942,SR-238 AND I-880,-122.134700,37.689526,SR-238 AND I-580,-122.097650,37.690007,I-580 AND I-680,-121.922687,37.700955,SR-24 AND I-680,-122.071081,37.8985594,SR-24 AND ORINDA,-122.1841625,37.878814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109333,2024,01/01/2024,01/07/2024,AIR HANDLER UNIT,California,Oregon Line,3276 Walnut Ave Signal Hill Ca,* from or line 5 - 005s - 210e - 605s - 405n - to cherry ave north e/b off ramp exit 29b *,"or line Oregon Line, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND SR-210,-118.4903133,34.3159777,SR-210 AND I-605,-117.957446,34.134298,I-405 AND I-605,-118.0938338,33.7863509,I-405 AND CHERRY AVE,-118.167636,33.8135531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109445,2024,01/01/2024,01/07/2024,(D108) 100 Ton RT #1394796,California,San Leandro,Richmond,* from 98th ave e/b on ramp - 880n - 080e - to richmond parkway exit (richmond parkway n/b off ramp) *,"98th ave San Leandro, California","98th ave San Leandro, California and I-880",-122.1885614,37.7316942,I-80 AND I-880,-122.2936744,37.8287862,I-80 AND RICHMOND PARKWAY,-122.3146378,37.986782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109441,2024,01/01/2024,01/07/2024,(D108) 100 Ton RT #1394796,California,Richmond,San Leandro,* from richmond parkway s/b on ramp - 080w - 880s - to 98th ave exit (98th ave w/b off ramp exit number 35) *,"richmond parkway Richmond, California","richmond parkway Richmond, California and I-80",-122.3146394,37.9867923,I-80 AND I-880,-122.2936744,37.8287862,SR-98 AND I-880,-122.18856,37.7318175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109451,2024,01/01/2024,01/07/2024,CAT 982 WHEEL LOADER,California,Oregon - 5,Pleasant Grove,* from or line 5 - 005s - to rte 3/yreka/montague exit (montague rd over rte 3 w/b off ramp exit number 776) - detour via ramps - from montague rd over rte 3 e/b on ramp - 005s - to red bluff exit (red bluff w/b off ramp exit number 651) ** from main st(north) @ beegum rd - 036e - to walnut st exit (walnut st/co rd a-7) ** from south main st e/b on ramp - 005s - 099n - to riego rd exit (riego rd e/b off ramp) *,"or line Oregon - 5, California",I-5 and Oregon Line,-122.6154688,42.0053774,SR-3 AND I-5,-122.6278309,41.7394717,I-5 AND SR-99,-118.954452,35.013687,SR-99 AND RIEGO RD,-121.5403209,38.7500999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109444,2024,01/01/2024,01/07/2024,Cat D6T LGP Dozer,California,San Leandro,Sunol,* from marina blvd w/b on ramp - 880s - 238s - 580e - to san ramon rd exit (foothill rd s/b off ramp) * from stoneridge dr e/b on ramp - 680s - to andrade rd exit (andrade rd e/b off ramp) - from andrade rd e/b on ramp - 680n - to rte 84 sunol exit (calaveras rd e/b off ramp exit number 21a) *,"marina blvd San Leandro, California","marina blvd San Leandro, California and I-880",-122.1666759,37.7105481,SR-238 AND I-880,-122.134700,37.689526,SR-238 AND I-580,-122.097650,37.690007,SR-84 AND I-680,-121.870122,37.591694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109448,2024,01/01/2024,01/07/2024,CAT 988 H LOADER,California,City Of Industry,Ontario,* from rose hills rd w/b on ramp - 605n - 010e - to vineyard ave exit (vineyard ave s/b off ramp) *,"rose hills rd City Of Industry, California","rose hills rd City Of Industry, California and I-605",-118.0528417,34.0179783,I-10 AND I-605,-118.0000932,34.0650647,I-10 AND VINEYARD AVE,-117.6110988,34.0706798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109447,2024,01/01/2024,01/07/2024,Cat D6T LGP Dozer,California,San Leandro,Sunol,* from marina blvd w/b on ramp - 880s - 238s - 580e - to san ramon rd exit (foothill rd s/b off ramp) ** from stoneridge dr e/b on ramp - 680s - to andrade rd exit (andrade rd e/b off ramp) ** from andrade rd e/b on ramp - 680n - to rte 84 sunol exit (calaveras rd e/b off ramp exit number 21a) *,"marina blvd San Leandro, California","marina blvd San Leandro, California and I-880",-122.1666759,37.7105481,SR-238 AND I-880,-122.134700,37.689526,SR-238 AND I-580,-122.097650,37.690007,SR-84 AND I-680,-121.870122,37.591694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109446,2024,01/01/2024,01/07/2024,LINKBELT 355 EXCAVATOR,California,Or Line,Nv Line Us-395 Border ,* from or line 139 - 139s - 299e - 395s - to nv line 395(north) exit *,"or line Or Line, California",SR-139 and Oregon Line,-121.5191292,41.9979742,SR-139 AND SR-299,-120.944169,41.198977,SR-299 AND US-395,-120.542587,41.494498,US-395 AND NV LINE,-119.548711,38.686659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109453,2024,01/01/2024,01/07/2024,CAT 988 H LOADER,California,Victorville,Riverside (800 E La Cadena Dr),* from `d` st e/b on ramp - 015s - 060e - to country village rd exit (mission blvd s/b off ramp) ** from rubidoux blvd n/b on ramp - 060e - to main st exit (main st(riverside) n/b off ramp exit number 52b) * columbia oc over 215 *,"`d` Victorville, California","`d` Victorville, California and I-15",,,I-15 AND SR-60,-117.550268,34.021768,SR-60 AND MAIN ST,-117.3647508,33.9964993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109450,2024,01/01/2024,01/07/2024,DISABLED DAIMLER TRUCK,California,Or Line 5,Riverside,* from or line 5 - 5s - 223e - 58e - 395s - 15s - 60e - to country village rd / mission blvd s/b off ramp # 48 * from rubidoux blvd n/b on ramp - 60e - to main st(riverside) s/b off ramp #52b - detour via ramps - from main st(riverside) n/b on ramp - 60e - 215s - to van buren blvd w/b off ramp *,"or line Or Line 5, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND SR-223,-119.1629213,35.209104,SR-58 AND SR-223,-118.658242,35.264251,SR-58 AND US-395,-117.542581,34.9957715,I-15 AND US-395,-117.402128,34.398855,I-15 AND SR-60,-117.550268,34.021768,SR-60 AND I-215,-117.357307,33.993341,I-215 AND VAN BUREN BLVD,-117.2699709,33.8876494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109460,2024,01/01/2024,01/07/2024,PETERSEN 5710 GRINDER,California,Or Line,Salinas,* from or line 5 - 5s - 505s - 80w - 680s - 101s to laurel dr exit (w laurel dr w/b off ramp exit # 330) * from davis rd w/b on ramp - 183n - 156w - 1s - to marina exit (del monte blvd e/b off ramp) *,"or line Or Line, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND I-505,-121.941668,38.849695,I-80 AND I-505,-121.9563057,38.370683,I-80 AND I-680,-122.1379333,38.2163797,US-101 AND I-680,-121.851952,37.339616,SR-156 AND SR-183,-121.752284,36.761461,SR-1 AND SR-156,-121.7656141,36.7529187,SR-1 AND MARINA,-121.812895,36.6694672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109456,2024,01/01/2024,01/07/2024,CAT 988 G LOADER,California,Ontario,Victorville,* from vineyard ave n/b on ramp - 010e - 015n - to rte 18  apple valley exit ('d' st w/b off ramp exit number 153a) *,"vineyard ave Ontario, California","vineyard ave Ontario, California and I-10",-117.611182,34.0706198,I-10 AND I-15,-117.544920,34.067352,I-15 AND SR-18,-117.3005492,34.5450974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109452,2024,01/01/2024,01/07/2024,(52) Modular Unit #1394605,California,Nv 80,San Jose,* from nv line 80 - 080w - 005s - 205w - 580w - 680s - 101s - to tully road exit (tully rd w/b off ramp) *,"nv line Nv 80, California",I-80 and Nevada Line,-120.0029073,39.4681518,I-5 AND I-80,-121.5171204,38.6248864,I-5 AND I-205,-121.3212098,37.7747996,I-205 AND I-580,-121.566683,37.742415,I-580 AND I-680,-121.922687,37.700955,US-101 AND I-680,-121.851952,37.339616,US-101 AND TULLY ROAD,-121.831543,37.3184288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109454,2024,01/01/2024,01/07/2024,STEEL BEAM,California,Otay Mesa / Mex Border,San Bernardino,* from commercial vehicle border entrance - 905w - to chp commercial inspection exit (chp commercial inspection station) * from siempre viva rd s/b on ramp - 905w - 805n - 015n - 215n - to university parkway w/b off ramp exit *,"commercial vehicle border entrance Otay Mesa / Mex Border, California","commercial vehicle border entrance Otay Mesa / Mex Border, California and SR-905",-116.9390526,32.5517706,I-805 AND SR-905,-117.0406132,32.5681478,I-15 AND I-805,-117.114120,32.738542,I-15 AND I-215,-117.408750,34.223824,I-215 AND UNIVERSITY PARKWAY,-117.3332737,34.164392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109462,2024,01/01/2024,01/07/2024,Mobile Home s/n 40481,California,Perris,Clements,* from ramona expwy w/b on ramp - 215n - 060w - 015n - 210w - 005n - 004e - 099n - 088e - to clements road exit (clements rd) *,"ramona expwy w Perris, California","ramona expwy w Perris, California and I-215",-117.2508186,33.8438277,SR-60 AND I-215,-117.357307,33.993341,I-15 AND SR-60,-117.550268,34.021768,I-15 AND SR-210,-117.495885,34.136374,I-5 AND SR-210,-118.4903133,34.3159777,SR-4 AND I-5,-121.300591,37.948246,SR-4 AND SR-99,-121.235285,37.943993,SR-88 AND SR-99,-121.250094,37.984617,SR-88 AND CLEMENTS ROAD,-121.078444,38.193648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109457,2024,01/01/2024,01/07/2024,PRESS BRAKE,California,Lathrop,Arizona Line/62,* from louise ave w/b on ramp - 005s - 046e - 099s - 058e - 395s - 015s - 215s - 010e - 177n - 062e - to az line 62 exit *,"louise ave Lathrop, California","louise ave Lathrop, California and I-5",-121.2956193,37.8117961,I-5 AND SR-46,-119.6532836,35.6161199,SR-46 AND SR-99,-119.2112125,35.6017319,SR-58 AND SR-99,-119.0395304,35.3526592,SR-58 AND US-395,-117.542581,34.9957715,I-15 AND US-395,-117.402128,34.398855,I-15 AND I-215,-117.408750,34.223824,I-10 AND I-215,-117.2964956,34.0641924,I-10 AND SR-177,-115.4002514,33.7104463,SR-62 AND SR-177,-115.219722,34.047019,SR-62 AND AZ LINE,-114.2993208,34.1596529,,,,,,,,,,,,,,,,,,,,,,,,
e23-109461,2024,01/01/2024,01/07/2024,MIXER TANK,California,Rancho Dominguez,Arizona - 40,* from del amo blvd e/b on ramp - 710n - 105e - 605n - 210e - 015n - 040e - to az line 40 exit *,"del amo blvd Rancho Dominguez, California","del amo blvd Rancho Dominguez, California and I-710",-118.205491,33.846629,I-105 AND I-710,-118.1801015,33.9128225,I-105 AND I-605,-118.1048384,33.9139358,SR-210 AND I-605,-117.957446,34.134298,I-15 AND SR-210,-117.495885,34.136374,I-15 AND I-40,-117.008954,34.886545,I-40 AND AZ LINE,-114.4878107,34.7171822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109464,2024,01/01/2024,01/07/2024,JEANNEAU 410 SAILBOAT,California,Port Hueneme,Richmond,* from vineyard ave e/b on ramp - 101n - 126e - 005n - 580w - 680n - 004w - 080w - to el cerrito exit (cutting blvd n/b off ramp exit number 15) * cutting blvd oc over 580 *,"vineyard ave Port Hueneme, California","vineyard ave Port Hueneme, California and US-101",-119.1731911,34.2318913,US-101 AND SR-126,-119.240789,34.264872,I-5 AND SR-126,-118.6055142,34.4431988,I-5 AND I-580,-121.340756,37.596558,I-580 AND I-680,-121.922687,37.700955,SR-4 AND I-680,-122.069861,37.994566,SR-4 AND I-80,-122.269362,38.015077,I-80 AND EL CERRITO,-122.3108027,37.9008865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109463,2024,01/01/2024,01/07/2024,Mobile Home s/n 40481,California,Perris,Clements,* from ramona expwy w/b on ramp - 215n - 060w - 015n - 210w - 005n - 004e - 099n - 088e - to clements road exit (clements rd) *,"ramona expwy w Perris, California","ramona expwy w Perris, California and I-215",-117.2508186,33.8438277,SR-60 AND I-215,-117.357307,33.993341,I-15 AND SR-60,-117.550268,34.021768,I-15 AND SR-210,-117.495885,34.136374,I-5 AND SR-210,-118.4903133,34.3159777,SR-4 AND I-5,-121.300591,37.948246,SR-4 AND SR-99,-121.235285,37.943993,SR-88 AND SR-99,-121.250094,37.984617,SR-88 AND CLEMENTS ROAD,-121.078444,38.193648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109481,2024,01/01/2024,01/07/2024,CLAMPIMNG UNIT IN STEEL BOX,California,Long Beach,San Diego,* from harbor scenic dr on ramp - 710n - 405s - 22e - 5s to las pulgas rd w/b off ramp exit # 62 -detour via ramps- from las pulgas rd e/b on ramp - 5s - 805s - 905e - 11e to enrico fermi dr s/b off ramp exit # 1b *,"harbor scenic dr Long Beach, California","harbor scenic dr Long Beach, California and I-710",-118.2072891,33.7654643,I-405 AND I-710,-118.2074519,33.8263771,SR-22 AND I-405,-118.085186,33.774544,I-5 AND SR-22,-117.8769603,33.7788598,I-5 AND I-805,-117.040268,32.549777,I-805 AND SR-905,-117.0406132,32.5681478,SR-11 AND SR-905,-116.948392,32.564100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109468,2024,01/01/2024,01/07/2024,1/CARGO LOADER,California,Or Line,Nv Line,* from or line 5 - 005s - 198e - 043s - 046e - 099s - 058e - 015n - to nv line 15 exit *,"or line Or Line, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND SR-198,-120.2439689,36.2543345,SR-43 AND SR-198,-119.6009198,36.3251738,SR-43 AND SR-46,-119.331557,35.601525,SR-46 AND SR-99,-119.2112125,35.6017319,SR-58 AND SR-99,-119.0395304,35.3526592,I-15 AND SR-58,-117.076548,34.870725,I-15 AND NV LINE,-115.392266,35.6048034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109470,2024,01/01/2024,01/07/2024,SWITCH GEAR,California,Az Line 40,Walnut,* from az line 40 - 040w - 015s - 010w - 057s - to temple ave exit (temple ave w/b off ramp exit number 20) *,"az line Az Line 40, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-15 AND I-40,-117.008954,34.886545,I-10 AND I-15,-117.544920,34.067352,I-10 AND SR-57,-117.8065739,34.0651133,SR-57 AND TEMPLE AVE,-117.8008784,34.0434509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109479,2024,01/01/2024,01/07/2024,DISABLED TRACTOR TRUCK,California,Oregon Line 5,Oakland,* from or line 5 - 5s - 505s - 80w - 680s - 580w - 238n - 880n - to hegenberger road / edes ave e/b off ramp # 36 *,"or line Oregon Line 5, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND I-505,-121.941668,38.849695,I-80 AND I-505,-121.9563057,38.370683,I-80 AND I-680,-122.1379333,38.2163797,I-580 AND I-680,-121.922687,37.700955,SR-238 AND I-580,-122.097650,37.690007,SR-238 AND I-880,-122.134700,37.689526,I-880 AND HEGENBERGER ROAD,-122.1964253,37.7406576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109473,2024,01/01/2024,01/07/2024,SWITCH GEAR (2 E/E),California,Az Line 40,Walnut,* from az line 40 - 040w - 015s - 010w - 057s - to temple ave exit (temple ave w/b off ramp exit number 20) *,"az line Az Line 40, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-15 AND I-40,-117.008954,34.886545,I-10 AND I-15,-117.544920,34.067352,I-10 AND SR-57,-117.8065739,34.0651133,SR-57 AND TEMPLE AVE,-117.8008784,34.0434509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109478,2024,01/01/2024,01/07/2024,MOBILE HOME   SER# 15679B,California,Oregon State Line,Morro Bay,* from or line 5 - 005s - 166w - 033s - 166w - 101n - to traffic way exit (traffic way e/b off ramp exit number 186) ** from grand ave w/b on ramp - 101n - to san luis bay dr exit (san luis bay dr e/b off ramp exit number 196) - detour via ramps- from san luis bay dr w/b on ramp - 101n - to los osos valley rd exit (los osos valley rd w/b off ramp) ** from foothill blvd - 001n - to san bernardo creek rd exit (san bernardo creek rd) *,"or line Oregon State Line, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND SR-166,-118.999200,35.059332,SR-33 AND SR-166,-119.512667,34.936127,SR-33 AND SR-166,-119.512667,34.936127,US-101 AND SR-166,-120.434710,34.996273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109488,2024,01/01/2024,01/07/2024,CAT 637 SCRAPER,California,Bakersfield,Kettleman City,* from coffee rd s/b on ramp - 058w - 005n - 041s - to kettleman hills waste management exit (waste management entrance) *,"coffee rd Bakersfield, California","coffee rd Bakersfield, California and SR-58",-119.0920771,35.3669728,I-5 AND SR-58,-119.397329,35.398890,I-5 AND SR-41,-119.9603248,35.9816544,SR-41 AND KETTLEMAN HILLS WASTE MANAGEMENT,-119.9933764,35.9539882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000047,2024,01/03/2024,01/09/2024,AEROSPACE TABLES (2 E/E),California,Az Line 10,Hawthorne,* from az line 10 - 010w - to corn springs rd exit (corn springs rd s/b off ramp exit number 201) ** from corn springs rd n/b on ramp - 010w - 605s - 105w - to crenshaw blvd exit (crenshaw blvd s/b off ramp exit number 5) *,"az line Az Line 10, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-10 AND I-605,-118.0000932,34.0650647,I-105 AND I-605,-118.1048384,33.9139358,I-105 AND CRENSHAW BLVD,-118.3265143,33.9252139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109477,2024,01/01/2024,01/07/2024,TWO (2) EMPTY WATER TANKS END TO END,California,Chino,Redding,* from grand ave w/b on ramp - 071n - 057n - 210w - 005n - 273n - to clear creek rd exit (clear creek rd) *,"grand ave Chino, California","grand ave Chino, California and SR-71",-117.7238956,34.0006841,SR-57 AND SR-71,-117.807419,34.0683769,SR-57 AND SR-210,-117.8243558,34.1205105,I-5 AND SR-210,-118.4903133,34.3159777,I-5 AND SR-273,-122.28333,40.4272485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109489,2024,01/01/2024,01/07/2024,EXCAVATOR,California,Phelan,Az Line 10,* from phelan rd/ main st - 395s - 015s - 215s - 010e - to az line 10 exit *,"phelan rd Phelan, California","phelan rd Phelan, California and US-395",-117.400033,34.4267239,I-15 AND US-395,-117.402128,34.398855,I-15 AND I-215,-117.408750,34.223824,I-10 AND I-215,-117.2964956,34.0641924,I-10 AND AZ LINE,-114.5311155,33.6047178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-109491,2024,01/01/2024,01/07/2024,MANUFACTURED HOME,California,"Lindsay, Ca","Phelan, Ca",* from rd 204/spruce ave - 065s - 099s - 058e - 395s - 018w - to oasis rd exit (oasis rd) *,"rd Lindsay, Ca, California","rd Lindsay, Ca, California and SR-65",,,SR-65 AND SR-99,-119.075105,35.434017,SR-58 AND SR-99,-119.0395304,35.3526592,SR-58 AND US-395,-117.542581,34.9957715,SR-18 AND US-395,-117.399583,34.506690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
