dataperiods,modeoftravel,zoneid,zonename,linezonelength(miles),zoneispass-through,zonedirection(degrees),zoneisbi-direction,daytype,daypart,averagedailysegmenttraffic(stlvolume),avgsegmentspeed(mph),avgsegmenttraveltime(sec),freeflowspeed(mph),freeflowfactor,vehiclemilesoftravel(stlvolume),vehiclehoursofdelay(stlvolume),5thspeedpercentile,10thspeedpercentile,15thspeedpercentile,20thspeedpercentile,25thspeedpercentile,30thspeedpercentile,35thspeedpercentile,40thspeedpercentile,45thspeedpercentile,50thspeedpercentile,55thspeedpercentile,60thspeedpercentile,65thspeedpercentile,70thspeedpercentile,75thspeedpercentile,80thspeedpercentile,85thspeedpercentile,90thspeedpercentile,95thspeedpercentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13303859,0.163,yes,357,no,1: Weekday (M-Th),0: All Day (12am-12am),110080,63,9,71.935,0.878,17920.9,34.73,49,52,54,56,58,59,60,62,63,64,65,66,67,68,70,71,73,75,77
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13303859,0.163,yes,357,no,2: Weekend (Sa-Su),0: All Day (12am-12am),101392,67,9,71.935,0.928,16506.5,17.8,54,57,59,60,62,63,64,65,66,67,68,69,70,71,72,73,75,77,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13434006,0.22,yes,56,no,0: All Days (M-Su),0: All Day (12am-12am),118884,63,13,70.612,0.886,26112.2,47.43,44,50,53,55,57,58,60,61,63,64,65,66,68,69,70,72,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13434006,0.22,yes,56,no,1: Weekday (M-Th),0: All Day (12am-12am),119123,61,13,70.612,0.863,26164.8,58.84,42,48,51,53,55,56,58,59,61,62,63,65,66,67,69,70,72,74,77
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13434006,0.22,yes,56,no,2: Weekend (Sa-Su),0: All Day (12am-12am),111009,67,12,70.612,0.943,24382.6,21.01,53,56,58,60,61,63,64,65,66,67,68,69,71,72,73,74,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13477492,0.062,yes,200,no,0: All Days (M-Su),0: All Day (12am-12am),48459,66,3,72.766,0.914,3019.58,3.91,48,57,60,62,63,65,66,67,68,68,69,70,71,72,73,74,75,77,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13477492,0.062,yes,200,no,1: Weekday (M-Th),0: All Day (12am-12am),49277,65,3,72.766,0.894,3070.55,5.03,33,54,58,60,62,64,65,66,67,68,69,70,70,71,72,74,75,77,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13477492,0.062,yes,200,no,2: Weekend (Sa-Su),0: All Day (12am-12am),43340,70,3,72.766,0.957,2700.63,1.67,59,61,63,65,66,67,68,68,69,70,71,71,72,73,74,75,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13815791,0.199,yes,358,no,0: All Days (M-Su),0: All Day (12am-12am),114298,64,11,72.091,0.891,22706.6,38.68,49,52,55,57,58,60,61,62,63,65,66,67,68,69,71,72,74,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13815791,0.199,yes,358,no,1: Weekday (M-Th),0: All Day (12am-12am),115858,63,11,72.091,0.874,23016.5,46.01,48,51,53,55,57,58,60,61,62,63,65,66,67,68,70,71,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13815791,0.199,yes,358,no,2: Weekend (Sa-Su),0: All Day (12am-12am),105225,67,11,72.091,0.929,20904.1,22.18,53,56,58,60,62,63,64,65,66,67,68,69,70,71,73,74,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13956796,0.5,yes,7,no,0: All Days (M-Su),0: All Day (12am-12am),83079,69,26,73.226,0.944,41578.9,33.85,55,58,60,62,64,65,66,68,69,70,71,72,73,74,75,76,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13956796,0.5,yes,7,no,1: Weekday (M-Th),0: All Day (12am-12am),82043,68,26,73.226,0.933,41060.3,40.09,55,57,60,61,63,64,66,67,68,69,70,71,72,73,74,75,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13956796,0.5,yes,7,no,2: Weekend (Sa-Su),0: All Day (12am-12am),80331,71,25,73.226,0.968,40203.7,17.93,58,61,63,65,66,67,68,69,70,71,72,73,74,75,76,77,79,81,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 14007861,0.127,yes,206,no,0: All Days (M-Su),0: All Day (12am-12am),122038,48,10,70.573,0.681,15486.5,102.75,17,21,25,28,32,35,39,43,46,50,53,56,58,61,64,67,70,73,77
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 14007861,0.127,yes,206,no,1: Weekday (M-Th),0: All Day (12am-12am),118920,44,10,70.573,0.623,15090.8,129.13,16,19,22,25,28,30,33,36,40,43,46,50,53,56,59,63,67,71,75
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 14007861,0.127,yes,206,no,2: Weekend (Sa-Su),0: All Day (12am-12am),122025,56,8,70.573,0.799,15484.8,55.35,25,31,36,41,46,49,52,55,57,59,61,63,65,67,69,71,73,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 14048898,0.285,yes,234,no,0: All Days (M-Su),0: All Day (12am-12am),111816,61,17,73.665,0.834,31816.5,85.66,29,40,47,52,55,57,59,61,63,65,66,68,69,71,72,74,75,77,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 14048898,0.285,yes,234,no,1: Weekday (M-Th),0: All Day (12am-12am),110429,59,17,73.665,0.803,31421.7,104.49,27,37,44,48,52,54,56,58,60,62,64,65,67,69,70,72,74,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 14048898,0.285,yes,234,no,2: Weekend (Sa-Su),0: All Day (12am-12am),109277,67,15,73.665,0.91,31094.0,41.56,44,54,58,60,62,64,65,67,68,69,70,71,72,73,75,76,77,79,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 14523133,0.013,yes,236,no,0: All Days (M-Su),0: All Day (12am-12am),115644,62,1,72.216,0.857,1549.63,3.57,29,43,50,54,56,58,60,62,63,65,66,67,69,70,72,73,75,77,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 14523133,0.013,yes,236,no,1: Weekday (M-Th),0: All Day (12am-12am),113441,60,1,72.216,0.83,1520.12,4.31,27,39,47,51,54,56,58,59,61,63,64,66,67,69,70,72,74,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 14523133,0.013,yes,236,no,2: Weekend (Sa-Su),0: All Day (12am-12am),114544,67,1,72.216,0.924,1534.9,1.76,48,55,58,60,62,63,64,66,67,68,69,70,72,73,74,75,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 15650683,0.058,yes,355,no,0: All Days (M-Su),0: All Day (12am-12am),115837,62,3,70.194,0.89,6668.77,11.76,47,51,53,55,56,58,59,60,61,63,64,65,66,68,69,71,72,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 15650683,0.058,yes,355,no,1: Weekday (M-Th),0: All Day (12am-12am),117984,61,3,70.194,0.873,6792.34,14.1,46,49,51,53,55,56,58,59,60,61,63,64,65,67,68,70,72,74,77
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 15650683,0.058,yes,355,no,2: Weekend (Sa-Su),0: All Day (12am-12am),105273,65,3,70.194,0.93,6060.6,6.45,52,55,57,59,60,61,62,63,64,65,66,67,68,70,71,72,74,76,79
