HQ Id,District/LOS,CO,RTE,Prefi1,BPM,Prefi1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
176,11,SD,805,,17,,18,SoCst-5,FY23/Q3,,,x,,,x,,,,,50,,X,,,X,X,,,,,75,63
177,11,SD,805,,18,,19,SoCst-5,FY23/Q3,x,,,,,,x,,,,75,,X,,,,,X,,,,50,63
178,11,SD,805,,19,,20,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
179,11,SD,805,,20,,21,SoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75
183,11,SD,805,,24,,25,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
184,11,SD,805,,25,,26,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
185,11,SD,805,,26,,27,SoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
186,11,SD,805,,27,,28,SoCst-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,X,,,,75,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,11,SD,905,,3,,4,SoCst-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
188,11,SD,905,,4,,5,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
189,11,SD,905,,5,,6,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
191,11,SD,905,,7,,8,SoCst-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
194,11,SD,905,,10,,11,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
195,11,SD,905,,11,,11.5,SoCst-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,92,54,12,37,1,113,38,7,37,2,79,95,62,4,34,17,110,47,4,34,17,81,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Unsheltered,,Need 1,1,,Unsheltered,,Need 1,2,,,encampments,,Need 1,15,,encampments,,Need 1,16,,
,,,,,,,,,,,,,Need 2,0,,,,Need 2,0,,,,,Need 2,2,,,,Need 2,1,,
