,ID,DIST,CO,RTE,PF1,BEGPM,PF1.1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
65,73.0,8.0,RIV,15.0,,34.0,,35.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
66,74.0,8.0,RIV,15.0,,35.0,,36.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
67,75.0,8.0,RIV,15.0,,36.0,,37.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
68,76.0,8.0,RIV,15.0,,37.0,,38.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
69,77.0,8.0,RIV,15.0,,38.0,,39.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
70,78.0,8.0,RIV,15.0,,39.0,,40.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
71,79.0,8.0,RIV,15.0,,40.0,,41.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
72,82.0,8.0,RIV,15.0,,43.0,,44.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
73,83.0,8.0,RIV,15.0,,44.0,,45.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,,x,,,50.0,X,,,,,,X,,,,75.0,63.0
74,84.0,8.0,RIV,15.0,,45.0,,46.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
75,85.0,8.0,RIV,15.0,,46.0,,47.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
76,86.0,8.0,RIV,15.0,,47.0,,48.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
77,87.0,8.0,RIV,15.0,,48.0,,49.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
78,88.0,8.0,RIV,15.0,,49.0,,50.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
79,89.0,8.0,RIV,15.0,,50.0,,51.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
80,90.0,8.0,RIV,15.0,,51.0,,52.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,,,X,,,,50.0,63.0
82,91.0,8.0,RIV,60.0,,13.0,,14.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
83,92.0,8.0,RIV,60.0,,14.0,,15.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,X,X,,,,,75.0,75.0
84,93.0,8.0,RIV,60.0,,15.0,,16.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
85,94.0,8.0,RIV,60.0,,16.0,,17.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,x,,,x,75.0,,X,,,X,,X,,,X,50.0,63.0
86,95.0,8.0,RIV,60.0,,17.0,,18.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
87,98.0,8.0,RIV,60.0,,20.0,,21.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
88,99.0,8.0,RIV,60.0,,21.0,,22.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
89,100.0,8.0,RIV,60.0,,22.0,,23.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
91,101.0,8.0,RIV,91.0,R,0.0,R,1.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
92,103.0,8.0,RIV,91.0,R,2.0,R,3.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,,x,,,50.0,X,,,,,,,X,,,50.0,50.0
93,104.0,8.0,RIV,91.0,R,3.0,R,4.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
94,105.0,8.0,RIV,91.0,R,4.0,R,5.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
95,110.0,8.0,RIV,91.0,,9.0,,10.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
96,111.0,8.0,RIV,91.0,,10.0,,11.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,,x,,x,50.0,X,,,,,,X,,,X,75.0,63.0
97,112.0,8.0,RIV,91.0,,11.0,,12.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,,x,,,x,,,x,,x,25.0,,X,,,X,,,X,,X,25.0,25.0
98,113.0,8.0,RIV,91.0,,12.0,,13.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
99,114.0,8.0,RIV,91.0,,13.0,,14.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,,x,,,50.0,X,,,,,,,X,,,50.0,50.0
100,115.0,8.0,RIV,91.0,,14.0,,15.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,,x,,,50.0,X,,,,,,,X,,,50.0,50.0
101,116.0,8.0,RIV,91.0,,15.0,,16.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,,X,,,0.0,0.0
102,117.0,8.0,RIV,91.0,,16.0,,17.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,,x,,,,,,x,,,25.0,,X,,,,,X,,,,50.0,38.0
103,118.0,8.0,RIV,91.0,,17.0,,18.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
104,119.0,8.0,RIV,91.0,,18.0,,19.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,,50.0,50.0
105,120.0,8.0,RIV,91.0,,19.0,,20.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
106,121.0,8.0,RIV,91.0,,20.0,,21.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
108,122.0,8.0,RIV,215.0,,21.0,,22.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
109,123.0,8.0,RIV,215.0,,22.0,,23.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
