ID,DIST,CO,RTE,PF1,BEGPM,PF1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
99,12,ORA,55,R,10,,11,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
100,12,ORA,55,,11,,12,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
101,12,ORA,55,,12,,13,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
102,12,ORA,55,,13,,14,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
103,12,ORA,55,,14,,15,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
104,12,ORA,55,,15,,16,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
105,12,ORA,55,,16,,17,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,12,ORA,57,,12,,13,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,,X,,,,50,,X,,,,X,,,,,75,63
107,12,ORA,57,,13,,14,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,,X,,,,X,,,,,75,88
108,12,ORA,57,,14,,15,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
109,12,ORA,57,,15,,16,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,,X,,,,,X,,,,50,75
110,12,ORA,57,,16,,17,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75
111,12,ORA,57,,17,,18,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75
112,12,ORA,57,,18,,19,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,X,75,X,,,,,,X,,,X,75,75
113,12,ORA,57,,19,,20,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
115,12,ORA,57,,21,,22,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75,,X,,,,,X,,,,50,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,12,ORA,73,,10,,11,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
117,12,ORA,73,,11,,12,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
118,12,ORA,73,,12,,13,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
119,12,ORA,73,,13,,14,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
120,12,ORA,73,,14,,15,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
121,12,ORA,73,,15,,16,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
122,12,ORA,73,,16,,17,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
123,12,ORA,73,,17,,18,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
124,12,ORA,73,,18,,19,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
125,12,ORA,73,,19,,20,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
126,12,ORA,73,,20,,21,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
131,12,ORA,73, ,25,,26,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
132,12,ORA,73,R,26,R,27,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,12,ORA,74,,0,,1,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
134,12,ORA,74,,1,,2,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
135,12,ORA,74,,2,,3,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
136,12,ORA,74,,3,,4,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
137,12,ORA,74,,4,,5,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
138,12,ORA,74,,5,,6,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
139,12,ORA,74,,6,,7,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
140,12,ORA,74,,7,,8,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
141,12,ORA,74,,8,,9,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
142,12,ORA,74,,9,,10,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
143,12,ORA,74,,10,,11,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,12,ORA,90,,1,,2,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
150,12,ORA,90,,2,,3,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
151,12,ORA,90,,3,,4,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
152,12,ORA,90,,4,,5,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
153,12,ORA,90,,5,,6,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
154,12,ORA,90,,6,,7,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
155,12,ORA,90,,7,,8,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,12,ORA,91,,5,,6,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,X,75,,X,,,,,X,,,,50,63
157,12,ORA,91,,6,,7,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,,X,,,X,75,88
158,12,ORA,91,,7,,8,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
