ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
117,LA,10,InVal-5,,16,,17,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
118,LA,10,InVal-5,,17,,18,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
119,LA,10,InVal-5,,21,,22,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
120,LA,10,InVal-5,,22,,23,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
121,LA,10,InVal-5,,23,,24,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
122,LA,10,InVal-5,,24,,25,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
123,LA,10,InVal-5,,25,,26,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
124,LA,10,InVal-5,,26,,27,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
125,LA,10,InVal-5,,27,,28,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
126,LA,10,InVal-5,,28,,29,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
127,LA,10,InVal-5,,29,,30,,FY23/Q3,,,1,,,,1,,,,25,,X,,,,X,,,,,75,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,LA,27,InVal-3,,0,,1,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
129,LA,27,InVal-3,,1,,2,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
130,LA,27,InVal-3,,2,,3,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
131,LA,27,InVal-3,,3,,4,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
132,LA,27,InVal-3,,4,,5,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
133,LA,27,InVal-3,,5,,6,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
134,LA,27,InVal-3,,6,,7,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
135,LA,27,InVal-3,,7,,8,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
136,LA,27,InVal-3,,8,,9,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
137,LA,27,InVal-3,,9,,10,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
138,LA,27,InVal-3,,10,,11,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
139,LA,27,InVal-3,,11,,12,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
140,LA,27,InVal-3,,12,,13,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
141,LA,27,InVal-3,,13,,14,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
142,LA,27,InVal-3,,14,,15,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
143,LA,27,InVal-3,,15,,16,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
144,LA,27,InVal-3,,16,,17,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
145,LA,27,InVal-3,,17,,18,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
146,LA,27,InVal-3,,18,,19,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
147,LA,27,InVal-3,,19,,20,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,LA,60,SoCst-5,,0,,1,,FY23/Q3,,1,,,,,1,,,,50,,X,,,X,,,X,,X,25,38
149,LA,60,SoCst-5,,1,,2,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,,X,,,X,50,75
150,LA,60,SoCst-5,,2,,3,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,X,,,,,75,88
151,LA,60,SoCst-5,,3,,4,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
152,LA,60,SoCst-5,,4,,5,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
153,LA,60,SoCst-5,,5,,6,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
154,LA,60,SoCst-5,,6,,7,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
155,LA,60,SoCst-5,,7,,8,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
156,LA,60,SoCst-5,,8,,9,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
157,LA,60,SoCst-5,,9,,10,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
158,LA,60,SoCst-5,,10,,11,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,LA,101,InVal-5,,0,,1,,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50
160,LA,101,InVal-5,,1,,2,,FY23/Q3,,1,,,1,,1,,,,50,X,,,,,,X,,,X,75,63
161,LA,101,InVal-5,,2,,3,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,,X,,,,75,75
162,LA,101,InVal-5,,3,,4,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
