ID,DIST,CO,RTE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
172,4,SCL,87,,2,,3,NoCst-5,FY23/Q3,,,x,,,x,,,,,50,,,X,,,,,X,,,0,25
173,4,SCL,87,,3,,4,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,,X,,,X,,,,,50,63
174,4,SCL,87,,4,,5,NoCst-5,FY23/Q3,,,x,,,x,,,,,50,,,X,,,,,X,,X,0,25
175,4,SCL,87,,5,,6,NoCst-5,FY23/Q3,,,x,,,,,x,,x,0,,,X,,X,,X,,,X,25,13
176,4,SCL,87,,6,,7,NoCst-5,FY23/Q3,,,x,,,,x,,,,25,,,X,,,,,X,,,0,13
177,4,SCL,87,,7,,8,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,,,,X,,,0,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,4,SCL,101,R,17,,18,InVal-5,FY23/Q3,x,,,,,x,,,,,100,,,X,,,,,X,,,0,50
179,4,SCL,101,,18,,19,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,,X,,,50,75
180,4,SCL,101,,19,,20,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,,X,,,50,75
181,4,SCL,101,,20,,21,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,,,X,,,,50,75
182,4,SCL,101,R,27,,28,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
183,4,SCL,101,,28,,29,NoCst-5,FY23/Q3,,x,,,,,,x,,,25,,,X,,,,X,,,,25,25
184,4,SCL,101,,29,,30,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,,X,,,50,50
185,4,SCL,101,,30,,31,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,,,,X,,,0,25
186,4,SCL,101,,31,,32,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,,,,X,,,0,25
187,4,SCL,101,,32,,33,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,,X,,,X,,,,,50,63
