ID,DIST,CO,RTE,PFX,BEGPM,PFX,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
205,6,TUL,99,,26,,27,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
206,6,TUL,99,,27,,28,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
207,6,TUL,99,,28,,29,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
208,6,TUL,99,,29,,30,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,
212,6,TUL,198,,6,,7,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
213,6,TUL,198,,7,,8,1,,6,District 6 - South Region,InVal-4,FY23/Q3,,X,,,,,X,,,,50
214,6,TUL,198,R,8,R,9,1,,6,District 6 - South Region,InVal-4,FY23/Q3,,X,,,,X,,,,,75
215,6,TUL,198,R,9,R,10,1,,6,District 6 - South Region,InVal-4,FY23/Q3,,X,,,,X,,,,,75
216,6,TUL,198,R,10,R,11,1,,6,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50
217,6,TUL,198,R,11,R,12,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75
218,6,TUL,198,R,12,R,13,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
219,6,TUL,198,R,13,R,14,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
220,6,TUL,198,R,14,R,15,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
221,6,TUL,198,R,15,R,16,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,147,27,18,26,1,152,34,5,26,3,86
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Encampments,,Need 1,1,,Encampments,,Need 1,2,
,,,,,,,,,,,,,,,,,Need 2,0,,,,Need 2,1,
