ID,DIST,CO,RTE,PFX,BEGPM,PFX.1,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
147.0,6.0,KIN,41.0,,22.0,,23.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
148.0,6.0,KIN,41.0,,23.0,,24.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
149.0,6.0,KIN,41.0,,24.0,,25.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
150.0,6.0,KIN,41.0,,25.0,,26.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
151.0,6.0,KIN,41.0,,26.0,,27.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
152.0,6.0,KIN,41.0,,27.0,,28.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
153.0,6.0,KIN,41.0,,28.0,,29.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
154.0,6.0,KIN,41.0,,29.0,,30.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
155.0,6.0,KIN,41.0,,30.0,,31.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
156.0,6.0,KIN,41.0,,31.0,,32.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
157.0,6.0,KIN,41.0,,32.0,,33.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
158.0,6.0,KIN,41.0,,33.0,,34.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
159.0,6.0,KIN,41.0,,34.0,,35.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
160.0,6.0,KIN,41.0,,35.0,,36.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
161.0,6.0,KIN,41.0,R,37.0,R,38.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
162.0,6.0,KIN,41.0,R,39.0,R,40.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
163.0,6.0,KIN,41.0,R,40.0,R,41.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
164.0,6.0,KIN,41.0,R,41.0,R,42.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
165.0,6.0,KIN,41.0,R,42.0,R,43.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
166.0,6.0,KIN,198.0,,8.0,,9.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
