ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
139.0,LA,27.0,InVal-3,,11.0,,12.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
140.0,LA,27.0,InVal-3,,12.0,,13.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
141.0,LA,27.0,InVal-3,,13.0,,14.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
142.0,LA,27.0,InVal-3,,14.0,,15.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
143.0,LA,27.0,InVal-3,,15.0,,16.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
144.0,LA,27.0,InVal-3,,16.0,,17.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
145.0,LA,27.0,InVal-3,,17.0,,18.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
146.0,LA,27.0,InVal-3,,18.0,,19.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
147.0,LA,27.0,InVal-3,,19.0,,20.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
148.0,LA,60.0,SoCst-5,,0.0,,1.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,X,,,X,,X,25.0,38.0
149.0,LA,60.0,SoCst-5,,1.0,,2.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,X,50.0,75.0
150.0,LA,60.0,SoCst-5,,2.0,,3.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,X,,,,,75.0,88.0
151.0,LA,60.0,SoCst-5,,3.0,,4.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
152.0,LA,60.0,SoCst-5,,4.0,,5.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
153.0,LA,60.0,SoCst-5,,5.0,,6.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
154.0,LA,60.0,SoCst-5,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
155.0,LA,60.0,SoCst-5,,7.0,,8.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
156.0,LA,60.0,SoCst-5,,8.0,,9.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
157.0,LA,60.0,SoCst-5,,9.0,,10.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
158.0,LA,60.0,SoCst-5,,10.0,,11.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
159.0,LA,101.0,InVal-5,,0.0,,1.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,,X,,,,50.0,50.0
160.0,LA,101.0,InVal-5,,1.0,,2.0,,FY23/Q3,,1,,,1,,1,,,,50.0,X,,,,,,X,,,X,75.0,63.0
161.0,LA,101.0,InVal-5,,2.0,,3.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,,X,,,,75.0,75.0
162.0,LA,101.0,InVal-5,,3.0,,4.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
163.0,LA,101.0,InVal-5,,4.0,,5.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,,50.0,75.0
164.0,LA,101.0,InVal-5,,5.0,,6.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
165.0,LA,101.0,InVal-5,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
166.0,LA,101.0,InVal-5,,7.0,,8.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,,X,,,,,75.0,75.0
167.0,LA,101.0,InVal-5,,8.0,,9.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
168.0,LA,101.0,InVal-5,,9.0,,10.0,,FY23/Q3,1,,,,,,1,,,1,75.0,,X,,,,,X,,,X,50.0,63.0
169.0,LA,101.0,InVal-5,,10.0,,11.0,,FY23/Q3,,1,,,,,,1.0,,,25.0,,X,,,,,X,,,,50.0,38.0
